contribution	date	full_text	helpful	rating	showname	title	user
15	March 12, 2018	Our favorite show on Broadway (and we've seen most of them). Was fortunate to see the original broadway cast, but I've heard the replacement for Evan is just as spectacular as Ben Platt. I was not expecting to have such an emotional response to the story, but it's just too perfect and too real for today's youth. Incredibly talented cast. You will laugh and cry. So good. If you can get tickets to this one, don't pass it up!	2	5	Dear Evan Hansen	Amazing & Powerful	Jackie M
186	March 14, 2018	We have seen so many musicals in NYC. Dear Evan Hansen was one of our all time faves. So much talent on the stage with such a meaningful message on many fronts. This is a great show to take your teenagers, young adults or anyone. Theme may be a little mature for young children. Go and see!	56	5	Dear Evan Hansen	Amazing and Touching Show	CathyCole
84	March 14, 2018	Ok I'll admit it, I just didn't love this show! I think I may be alone in this camp but I just found it too formulaic. Admittedly, the first act is very good but it goes down hill in the second. It all conveniently wraps up just a bit too tidily in my opinion.	26	3	Dear Evan Hansen	What's wrong with me?	DBronchick
6	March 15, 2018	According to all the reviews this was a sure thing ... hmmm. Granted a few scenes were poignant I didn’t find all the numbers consistently flowed together. Evan lead was great but some parts of the show kind of lagged. One of the opening lines about a character also elicited a negative audience reaction considering today’s headlines re high schools. I’m sorry — this was supposed to be the highlight of our stay but while I left having enjoyed the show I wasn’t as overwhelmed or touched as some other audience members were. 	5	4	Dear Evan Hansen	I know I’m supposed to love it ...	samiamtravel
449	March 18, 2018	If you've seen a lot of broadway plays, I suspect this one, as with us, will not make it into your top 5 or so. While very good it just doesn't make it as one of the greats. While all the performers/actors were excellent the subject matter, songs, acts while very good just miss the excellent mark. Sometimes it was hard to hear the soft spoken dialog of Zoe. The subject matter of the play is outlined in many reviews and at times leaves you wanting to shake Evan back to his senses as his web of continuing growing lies is frustrating. Certainly a very good play with excellent performers and worth the price.Seats are tight at the music box theatre.	132	4	Dear Evan Hansen	Very Good But Not One of Our All Time Favorites	ivytravel
68	March 18, 2018	This was the show my 16 year old son wanted to see after being inspired by his theatre teacher last year. The main character really resonated with him. I'm so glad we saw it together! Absolutely beautiful performances and a moving story - do not miss it!	26	5	Dear Evan Hansen	Excellent!	abibh
267	March 25, 2018	Girls weekend. A friend got tickets. I had not even heard of this production.  OMG - so timely for today’s kids. And parents.  Who knew just a few cast members could make a production so fulfilling. The songs, the voices, the backdrop - I lost myself in this play. I cried, I laughed, I nodded my head often. I cannot wait to see it again. 	118	5	Dear Evan Hansen	Moving, relevant, and amazing!	SunshineWonderland
217	March 26, 2018	This show is outstanding with a great cast. The script is current with respect to suicide and the loneliness in high school and is challenging in the subject matter. This is not a feel good musical but is worth while seeing.	123	4	Dear Evan Hansen	Fantastic Acting and Script	Mike H
32	February 4, 2018	I recently went to Dear Evan Hansen (DEH) with NO expectations at all. I heard non-stop raves about the show and its stars, but knew nothing about what the show is actually about. Having now see it twice (through regular tix and winning lottery tix), DEH is one of those shows you see and then can't stop thinking about. The acting is mind-blowing. Noah Galvin, currently playing the Evan Hansen character, is so terrific in this role that I am absolutely certain that he would have won the Tony award had he been playing the role with the show first launched (with all due respect to Ben Platt, the original Evan Hansen). Noah's performance is gripping - he portrays an anxiety-ridden teenager so perfectly and emotionally - it's heartbreaking and gut-wrenching to watch. Not for one second do you NOT think he's nervous, has sweaty palms or nervous tics. And his ability to cry during the show is the icing on the cake. Noah's performance is unlike anything I've seen on Broadway. Sadly, he leaves the show on February 4th - the producers would be wise to bring him back to the show when his replacement leaves.  The rest of the cast is also top notch and it's a great ensemble performance. And the now Grammy Award winning cast album is music you will be listening to for a long time to come and, each time you listen, you'll remember this gripping show and it's message that everyone matters and you will be found.  Taylor Trensch is taking over the Even Hansen role starting on February 6th. He has very big, enormous, giant, huge shoes to fill and let's wish him all the best. I just don't know of a performance that could possibly be better than Mr. Galvin's. Let's wait and see... GO SEE THIS SHOW. Tickets can be tricky, so be sure to plan ahead. Enjoy.	19	5	Dear Evan Hansen	This show needs to be at the top of everyone's list.......	Kaongs
11	February 12, 2018	I am an avid broadway purveyor and have watched dozens of broadway shows. Dear Evan Hansen stands out amongst the best of them - a great story and so vital in the world of social media, and looking to stand out and finding out who you are (and having the courage to be true to it). Highly recommend to everyone, especially those with teens and pre-teens too.	23	5	Dear Evan Hansen	Amazing musical, great acting and script	LonghornTraveler13
5	February 19, 2018	This is a MUST SEE production. This was my first broadway show, I was blown away! Being a newbie, I almost walked out at intermission thinking it was done lol. 	11	5	Dear Evan Hansen	Must see	missmm31
6	February 20, 2018	Great music, good character development & most importantly doesn’t put you to sleep with slow dreary music. Would certainly recommend to those that don’t enjoy musicals and are dragged along as a +1 with the wife 	5	5	Dear Evan Hansen	Excellent ... and I hate theatre shows	rhett2344
56	February 23, 2018	We got tickets for a February show back in October. We sat second row balcony to the right and the seats were great. That said there doesn’t seem to be a bad seat in the house. As far as the play...just see it, no matter who plays Evan, just see it. You won’t regret it...it lives up to the hype. Adults, young teens would definitely enjoy. A 13 year old was in our group and they really enjoyed it. If I could give it more stars, I would.	14	5	Dear Evan Hansen	Just go...you won’t regret it	ellalivi04
27	February 25, 2018	This show. I brought my teenage daughter to the show and she loved it. My daughter hasn't smiled in months, but she knew the songs. The characters are so real. As a mom of two teens, well bring the tissues. The performances are gut-wrenching and real. Life is so complicated these days. Where is the moral compass, who's judging who, and who's to say your decisions won't have reprucussions. We are listening kids, but sometimes you have to get in our face so we remember to get off our devices. The music is beautiful and the cast wonderful. Really touched. Very important for teens to go see this show. 	11	5	Dear Evan Hansen	Run, Don't Walk	Candi M
10	February 26, 2018	I saw DEH show on the weekend - it was a very moving show, excellently executed, absolutely incredible music - can't get it out of my head all weekend!  I wouldn't say it was my fav show ever, as most people are saying, but there is a reason why it's won so many Tony's. The subject matter is relevant, the story interesting, the music incredible, and it is a topic that I feel every parent and their teenager should discuss - the disconnect between parents and kids and how that can play out. It's incredibly moving and an important show. I'm so grateful I got to see it.  Now - Ben Platt is no longer headlining it, but the new lead is absolutely astounding. so just go... it's a must see! Tip on Getting tickets last minute: prices dropped the day before - I got mine off Vivid Tickets - able to get 2 tickets orchestra level for 185$ each, as opposed to $350 a few days prior.	3	5	Dear Evan Hansen	Creative show, Moving, every parent and their teenager should see this show!	Jessica S
14	February 25, 2018	We already had tickets to Hamilton; yet I was compelled to see this show as well because we were told it was “life-changing”, “amazing” and friends and family played the music nonstop. So I splurged and bought tickets to a second show in as many days - and it turns out what we heard was true. Dear Evan Hansen is profoundly touching. Its messages of wanting to be seen and liked for who you are and that you are not alone, as well as its non-sugar-coated portraits of family dynamics, of grief, as well as the struggles of too many teenage youth are spot on & very timely! The acting and music are as evocative as the messages - and both my 16 year old daughter (who initially didn’t think she’d like the play) and I were deeply moved. The actors are all so talented and have beautiful voices! The sets are sparse yet creative and the last one is breathtaking! If you are wondering- the new Evan Hansen is stellar! Amazing voice and acting. I wouldn’t recommend this play for young children (I think there is an age limit), as it deals with suicide, but for all others it is a must see! We had the extra thrill of getting the lead’s signature - stay after the performance to the front left of the theatre (as u r looking at it) - there may be a roped off area- and see who comes out. #youarenotalone #youwillbefound and u will love this show! 	13	5	Dear Evan Hansen	Incredibly moving, profound message, & beautifully performed! 	LuxeTravelLisa
169	March 4, 2018	I knew that the story was powerful but I was unprepared for just how much. Absolutely hits you hard and you can’t help become emotional as the story unfolds.  Incredible acting, bringing you into the story which such a connection that you can’t help but be overcome with tears by the end.  A must see and such an important message to send.	81	5	Dear Evan Hansen	Emotional, be prepared to cry	jenandcody
29	January 5, 2018	My daughter and I saw this show in January. We bought our tickets months in advance as it was hard to get tickets to this show. It was worth the wait. The show was great from the very first act. We loved it and would definitely see it again. 	3	5	Dear Evan Hansen	Wonderful Show	CSILPD
272	January 9, 2018	I wasn't real excited going to this show because I thought it was a dark topic (suicide) that I have dealt with too much in life (once is too many times). It didn't dwell on the suicide. It dwelt on the social issues surrounding Evan Hansen and how he ended up in the position he was. I wouldn't take real young kids, but this show wouldn't be bad for high school aged and older. I still think about some of the issues and questions that it raised and I saw the show about 2 weeks ago.	59	5	Dear Evan Hansen	Great subject matter, makes you think beyond just the night of the show	CRPD908
84	December 30, 2017	We saw 3 plays on our last trip to NYC and my wife and I both can agree this was our least favorite. It was a good story but nothing like a Hamilton, Phantom or Lion King. I had to pay a premium for these tickets...not worth it.	37	3	Dear Evan Hansen	It was just ok...	JSSBeenThereDoneThat
18	January 11, 2018	Seeing DEH at the Music Box was the highlight of my visit to NYC. The entire cast was phenomenal. Noah Galvin has developed Evan Hansen into his own character and was full of enthusiasm. After seeing video clips of Ben Platt prior to his departure, I was just as impressed. The story is an emotional one but the sadness is balanced by humor and optimism. It is especially relevant in today's society where so many of us are connected to our mobile devices and social networking. I waited outside by the stage exit and was able to meet Noah Galvin and get my Playbill signed. Despite the near record cold and wind, he was smiling and even posed for photos. Bravo to all involved in the production of DEH!	24	5	Dear Evan Hansen	Powerful and relevant	Brandon W
97	January 20, 2018	Visiting my bestie in New York, she spoiled my son and I with tickets, which was on our wish list but sold out , so was such a surprise! And it didn’t disappoint, I laughed, sang, cried...I’m such a tragic but that’s how amazing it was. My son bought the cd on the way out and had it down word for word in 3 days! An absolute must see ❤️❤️	33	5	Dear Evan Hansen	Just so amazing....loved the music..could watch 100 times over..	Janine K
12	January 21, 2018	LOVED LOVED LOVED this play. Excellent actors/actresses. Great songs. Although bullying and suicide is part of the story, it is not all gloom, doom and disaster. Great message. Very entertaining. Would definitely recommend seeing it.	2	5	Dear Evan Hansen	Broadway show	antoinettegentile
47	January 24, 2018	I saw DEH twice, both with Ben Platt. I'm sure the current star is good, but Ben Platt has to be the best actor/singer I've ever seen. No one compares to him. The show is amazing with an incredible score and a deeply moving plot. You will memorize every song and find yourself listening to the soundtrack on replay again and again.	14	5	Dear Evan Hansen	Wish I could see it over and over again	gzwmom2015
51	January 26, 2018	I fell in love with DEH a year ago when I first heard the Broadway cast album. Even without knowing the story behind the musical the music moved me to tears. Anyway, I finally saw Tony winner for best musical, DEH, in January, 2018, and it blew me away! The set design is dominated by moving panels displaying constantly changing internet images with pieces of furniture moving on and off the stage as needed. The story of a socially awkward, insecure teenager trying to find himself, along with the beautiful music and outstanding acting of the entire cast was incredibly moving. In the lead role I got to see Noah Galvin who replaced Tony winner Ben Platt. Galvin delivered an exceptional performance in what is considered to be one of the most demanding musical roles to sing and act. Great show! Awesome! Awesome! Awesome!	29	5	Dear Evan Hansen	Sincerely Awesome!	Schreckster
7	January 27, 2018	Anniversary trip to New York with only one purpose, to eat well and be connected to Broadway. I had been listening to Hamilton for the last few months to be ready in case we were able to score a pair of reasonably priced seats, so I had no expectations when my wife suggested we see DEH. Having heard about the story, I started listening to the soundtrack in advance to get a better handle on the show. Even after listening, I wasn't sold as I told my wife that after listening to Hamilton where the entire show is in the music, I was struggling to fill in the gaps between songs even as good as they were. Now, there was nothing easy about securing these seats, and we paid premium for them, but the show did not disappoint. Noah's gut wrenching performance as a teenager lost in the world, trying desperately to belong was excellent. Ben Platt obviously excelled in the role with all the accolades he received, but Noah drove the show this night. By the end, I don't believe there was a dry eye in the house as Mom's and Dad's and kids alike found a moment or moments that touched home in some way. All you ended up wanting was a hug from your family, and the chance to get to tell each of them that you loved them for who they are, nothing more.. nothing less. If in New York, check it out. You will not be disappointed.	7	5	Dear Evan Hansen	No Expectations	Blake V
157	November 29, 2017	This was a well written story, beautifully done in the theater. The music, cast, and all about it was top notch. Not an easy ticket to get but worth it if you can. We saw the play last week with the lead that does the show for matinee's. So it wasn't the original guy that left just last week, nor the new one taking over, but regardless excellent. So go and enjoy it.	43	5	Dear Evan Hansen	It Lived Up To the Hype	thomaseX967TZ
75	December 4, 2017	Loved this show! I was worried it would be depressing based on reviews. And yes, I cried. But I also laughed. The cast is terrific including the new Evan Hansen - Noah - who is there through part of January. The music is compelling and enjoyable. Usually, I know a soundtrack inside/out before I go but we went to this one on a whim and I did not know any of the music. And I still loved the music immediately. Highly recommend this! My 13 yr old was with me and she really loved it too. Very relatable topics for teenagers.	34	5	Dear Evan Hansen	Took my 13 yr old daughter - Great show!	travelkat2570
626	December 4, 2017	We planned a trip to NYC to see Dear Evan Hansen before Ben left the show and we weren't disappointed! We sat in right mezzanine, row D 18 - 20 and had a great view! Seats were tight, but not too uncomfortable. A must see when in NYC!	115	5	Dear Evan Hansen	Incredible!	WBJM2009
404	December 5, 2017	Love love loved this musical! I have been listening to the music for months and was very excited to go! Unfortunately we found out the night of the show that Rachel Bay Jones would not be performing. Her understudy was fine, but just not the same. It is just a great story in general though - highly recommend.	134	5	Dear Evan Hansen	Ben Platt was amazing, disappointed not to see Rachel Bay Jones.	Brenna R
15	December 14, 2017	We went on a last minute whim to see Ben Platt the weekend he left and paid a small fortune but it was well worth it. One of us was reluctant but became an instant fan! It’s such a wonderful show - you feel so anxious for Evan at some points and the first act is better than the second - but go! 	5	5	Dear Evan Hansen	I think you will LOVE it!	thepreppygrl
25	December 18, 2017	Was on the fence about splurging a little on this show not knowing how much my husband would love it- so glad we made the executive decision to go! Waited until approx one hour before the show and bought tickets through stubhub as we came up short through tkts and at the box office. Can’t stop listening to the music since. Be prepared for a few....lots of? tears! 	12	5	Dear Evan Hansen	Pay the money- feel the feels	jackieluke
61	December 21, 2017	I cannot say how much I love Dear Evan Hansen. I really connected to the soundtrack and have been dying to see the show on Broadway, but was unable to get tickets the last time I was in NYC. All I was able to do was wave through the window. This trip, I somehow got a fabulous last minute ticket and it was worth every. single. penny. This cast is simply incredible. This production really earned those Tony awards!! It must be incredibly daunting to try to fill Ben Platt's shoes, but I thought Noah Galvin did a great job! Three of the actors came out of the stage door after the show and signed my playbill, which was amazing. Go see this show!!	15	5	Dear Evan Hansen	Words fail	Allison B
3	December 21, 2017	An absolute must if you love the theater. My. Recent trip to NYC was planned around seeing this production before Ben platt’s departure. I had third row center and I remain awestruck. You will laugh, cry and be touched by what The Arts can accomplish.	61	5	Dear Evan Hansen	Thank you Evan Hansen!	John R
25	December 26, 2017	I saw this for the second time last week in NYC I was very fortunate to see it with the original cast the first time. The replacement for Evan isn't as talented as Ben Platt but still did an amazing performance. The music and talent were five star. This isn't a show for really young kids since it deals with teen suicide.	208	5	Dear Evan Hansen	Best musical I've ever been to	404man
338	October 1, 2017	Be ready to feel every emotion...this brilliant production takes you on a wild ride. Laughter...tears...hope...despair. We got out tickets seven months ago...and the wait was definitely worth it. Stellar cast. The sets and lighting are very innovative. The power of the voices reaches into your soul and squeezes tight. Do whatever it takes to experience this masterpiece.	86	5	Dear Evan Hansen	POWERFUL!!!	Michael A
299	October 13, 2017	Ben Platt is just simply amazing! The musical will certainly move you. Very emotional with a lot of energy- I don’t see how they do it nightly. The tickets were way too expensive, but I’m so glad we went. All of the performers were great. If you can do it, put Dear Evan Hanson on your list.	48	5	Dear Evan Hansen	Just about as Good as I have ever seen	WineSnob7
45	October 22, 2017	What an amazing show. It's an emotional roller coaster, I was laughing one minute and sobbing uncontrollably the next. Didn't get to see Ben Platt but Michael Lee Brown was excellent. The whole cast overall was exceptional. Highly recommend this show to parents and their teens. I went with my 14 year old daughter and I'm so glad we shared this experience. What an incredible show. 	19	5	Dear Evan Hansen	WOW	Mollaroo
1531	October 26, 2017	What an amazing play with a very powerful message! The actors were all superb—and Evan was played by the understudy! I could have turned around and seen this play again! I liked having the music come from above instead of below! I recommend this for teens and adults.	403	5	Dear Evan Hansen	One of Favorites Ever!	annarc6
272	October 29, 2017	Saw the matinee expecting BP but got Michael Lee Brown as Evan. The work stands on its' own. Spectacular effort and emotion in making this world real and heart-wrenching. If you like your Bway with substance, make a date - no matter who is starring.	72	5	Dear Evan Hansen	Understudy Doesn't Matter	BobPhibbs
774	October 29, 2017	Had trouble deciding whether to buy tickets to this show considering the subject matter, especially since it was presented as a musical. No two and a half hour show can adequately delve into the lives of two young men suffering from disorders and mental illness. The majority of the reviewers and people we spoke to think this was a show about anxious, unpopular and lonely high school students. Sadly that is not the case at all. Evan Hansen's father was painted as a cad who left his family, when, in truth, he was also a victim of the illness. But who would know that in a play like this which is somewhat superficial. Even the ending was unrealistic. Disorders like these do not just resolve themselves very easily, if at all. On a more positive note, Ben Platt gave one of the most stellar performances that I have seen on Broadway. Mike Faest was superb as Conner and Will Roland was excellent as Jared. The rest of the ensemble also gave 4 and 5 star performances. The only actor that fell below was Rachel Bay Jones. She performed to those seated in the orchestra and the peons who paid $200 for balcony seats could barely hear her. In addition, her voice cracked in the last number of the show. Maybe she was just having an issue with her voice that night. But another annoyance was that the cast only played to the orchestra, hardly ever looking at the balcony. I would say that there are no bad seats in this theater and the balcony should have been satisfactory had the actors engaged us as well. Benj Pasek and Justin Paul's score was very good. There are reasons to see the show but without Ben Platt, just not sure.	321	4	Dear Evan Hansen	Ben Platt was spectacular	shapgo
158	November 8, 2017	This has fantastic music. smallest cast and least props of any show I have seen - BUT - one of the most powerful shows. The range of the lead singer's voice was amazing, it will be a huge loss to the company when he is no longer the lead. Definitely recommend this to a more mature audience.	64	5	Dear Evan Hansen	Sad but wonderful	Scottie96
326	November 23, 2017	I love the message - You will be found. Such an important thing to understand. I sent my 2 daughter’s to Ben Platt’s last weekend of playing the starring role. They had a wonderful time. Thank you to the writers and production of this show. You’ve done a good thing :)	119	5	Dear Evan Hansen	Love the Message	Gary A
106	November 25, 2017	Going to the theater is my passion. I have seen shows in venues around the world and have enjoyed almost all of them (except the Book of Mormon!). But no show has ever moved me as deeply as this show. The music, the singing, and the message are all incredibly powerful. We already knew most of the soundtrack. Still, my 18 year old son and I cried throughout the whole show. My mother and daughter did not cry (how is that possible?) but they really enjoyed the music and the singing. Don't miss this one.	55	5	Dear Evan Hansen	Best show I have ever seen	familytravl
3	September 6, 2017	Literally a week before going to show, notified that star Ben Platt no longer doing matinees. Of course no other tickets available -- really shabby way to treat fans.	4	1	Dear Evan Hansen	Last minute pulling the plug	Jerry M
