contribution	date	full_text	helpful	rating	title	user
59	January 14, 2017	The most unique aspect of this musical is the visual: costumes, sets, etc. The songs are great and the story line is great also, but the way they portray the animals and do the scenes from the movie are incredible.	32	5	Lived up to the Hype	Mueller85
311	January 15, 2017	The set and costumes of this show alone are worth the tickets. We sat in Row Y in the two end seats in the Orchestra Section and were able to see the entire set very well.	122	4	Amazing set and costumes!	Andrea G
18	December 31, 2016	We booked the 8pm show for our large group with children. The Lion King was awesome, awesome. After a busy day in the city, our group was very tired but we still enjoyed it all! Costumes were amazing, singing was beautiful. We had great seats upstairs just as you enter in the theatre. Would highly recommend!	3	5	Awesome show!	Keri H
62	January 1, 2017	I was so disappointed by this production. I had heard nothing but fabulous reviews and this was one of two shows we chose to see while in NYC. I am not sure if it were an off night or what but the singing and the overall performance was not what I expected in NYC. I was very displeased about the cost of the tickets not meeting my expectations and we had very good seats. I would certainly make a different choice or do some more review searching before going blindly on what you have heard.	21	3	Not living up to the Lion King	wendylps
105	January 6, 2017	Took the kiddos to see Lion King at the Minskoff Theatre in Broadway. A Broadway show is definitely part of the New York experience and we paid a pretty penny for our tickets. But they were worth it - we were in the 2nd row from the stage and could see the tears & sweat on the actors. This is a great show to take the kids, the acting, music and costumes are totally rocking. My kids who rarely watch TV or movies were actually moved to tears when Simba is mourning his father as an adult. Personally I thought the actress who played Raffiki & the actor who played Mufasa were the best. But Scar was really believable in a negative role as well. All in all, an evening we really enjoyed, even my husband who had scoffed at spending so much on a Broadway show. If you can afford it, get tickets to the first 2-3 rows, the experience is magical. You almost feel part of the show itself.	70	5	Awesome show!	Urmila
171	January 7, 2017	Overall a good show. We just managed to get seats in the very last row center stage but nothing was missed. The audible sound quality was still very good and we could see all the characters quite clearly. We were also fortunate to be sitting in the aisle seat which is what you want as the characters come racing through the aisles onto the stage. The only downside is that the broadway musical was word for word song for song identical to the DVD while I was hoping to see a little variation.	85	4	Good show	BritinBangkok
72	December 14, 2016	A must see for everyone loving musicals. A great show and the second time I see it. Bought great tickets at the door 2 hrs before the show.	14	5	Great show	Jørgen Joakim J
65	December 19, 2016	Even though we were familiar with the story line -- it was told with simplicity but great meaning. Excellent and captivating for all ages...it is a must see in New York! The costumes were phenomenal as were the actors who made the animals come alive. Superb! Bravo!!	15	5	ONE OF THE BEST - BEAUTIFUL MUSIC, SET AND COSTUMES	RoseMCT
22	December 26, 2016	My husband is not a musical theatre fan but even he was really impressed with this show. It was magic from start to finish and although it is many years ago since I saw the movie I could only remeber bits of the story. My husband who had no idea what it was all about was easily able to understand the storyline and all the different characters, so well done to Andrew LLoyd Webber and Tim Rice for their inital genious. The stage and all the moving parts as well as the fantastic costumes made this an absolute delight to watch and I would watch it again in a heartbeat. We had great seats. On the Mezzanine level at the side CC2 CC4 . They were really close to the stage so you could see everything.	4	5	Brilliant	Jane255114
99	December 27, 2016	Some of my favorite parts were the costumes, drums/percussionists in the alcoves, and animal puppetry. But the real highlights are when the cast members emerge from the back of the theatre and bound on stage singing their hearts out! Great cast and production; everyone's hard work has paid off! I will remember this always.	49	5	Down the Aisles	Coley52
119	December 5, 2016	I saw the movie many years ago. I have never seen a Broadway Play and didn't know what to expect. We were impressed with the acting and the costumes. I highly recommend that you go and see Lion King.	50	5	Really Really Good	JMcLauchlin
159	December 10, 2016	This show just blew my mind. I watched it with my childhood best friend and we both left with a wide grin on our faces. Not only is the story a pleasant childhood memory but the performance just made it so much better. The scene and costumes are really elaborate, rich, and colorful. The music is great and the actors even more so. It is one of the more expensive shows on Broadway but it is well worth it. Highly recommended 	50	5	Just like being a kid again	Boyana T
21	December 11, 2016	I've always wanted to see this show, and everyone always raves about it. I'm so glad that we finally got around to seeing it. It was everything that it was promised to be. The set design and costumes are truly spectacular and marvelous. The whole experience is enjoyable for young and old alike! I saw it with my husband for our anniversary, and it made our special day, more special! What a great way to celebrate! I loved it, and would definitely recommend it, as everyone always had to us! I would recommend the center orchestra. We sat on the left side orchestra (R9,11), which is still pretty close to the stage, but I believe you can get a better unobstructed view if you sit in the center. Of course, that would be more expensive, but it's totally worth the experience!	7	5	Spectacular, as everyone always claims!	Nanditha D
67	December 12, 2016	I grew up with The Lion King so being able to experience the show on Broadway was a must for me. The costumes and makeup were fantastic and creative (unlike anything I've ever seen, just mind-blowing), the songs were fun, the set was amazing, and the overall show was excellent! I loved every part of it and the show really brought the movie to life in new and delightfully unexpected ways and was a wonderful experience! Only suggestion I have is to open more concessions so the lines don't get so long. Hakuna Matata!	51	5	Excellent, Creative, Fun!	buzzbabe06
259	November 27, 2016	"We did spend a little extra to get good seats. Ours were along the side of the mezzanine... and were totally worth it. Several times, to our surprise, cast members actually came out right in front of us to perform. The amazing costumes, singing, dancing, and the great story all made for a wonderful evening. Our kids were engrossed the whole time and we were singing ""Hakuna matata"" the rest of the week."	51	5	What a fabulous production	luv2travelMAP
12	November 27, 2016	I am 26 and my husband finally brought me to see lion king the best show ever !!! The vocals and costumes are unique! Seats were awesome	8	5	1 year anniversary suprise	Diana R
123	November 28, 2016	A fantastic show and one that brought back memories of watching the original movie over and over with the kids when they were young. Cast was great - particularly Scar who really nailed it.	10	5	Brought back some memories...	Clint A
14	November 29, 2016	I loved The Lion King. The music, color, scenes, and acting are nothing less than amazing. I bought my tickets about 2 hours prior to the matinee performance. Fair price and great seats. 	1	5	Amazing theater experience	tamarasT9162YY
52	November 15, 2016	Such an amazing performance, the actors are amazing and the costumes stunning. Definitely worth the money as it was such a special occasion.	31	5	Absolutely Fantastic.	Kelly B
35	November 17, 2016	From the moment the first note is played and the African animals walk down the aisles, you are taken to a musical paradise. Catchy songs we all know, amazing choreography and stage management to some truly wonderful acting performances. I would recommend this show to anyone wanting to see a musical on Broadway.	2	5	An Audio Visual feast	Chris T
10	November 19, 2016	Wow Wow Wow, this show was amazing! It is expensive for the tickets, but I am glad I watched this. From the start it was colourful energetic and lots to watch, it had me hooked. Especially loved the play with the shadows.	1	5	Amazing definately worth the money	Natalie A
59	November 21, 2016	Probably the best theater production I've ever seen !! The singing and acting was good but probably the best part of the show was the props and costumes!! It was truly spectacular!! The actor that played Scar was so good, he made us hate him so much with his acting!! And Mufasa was the perfect father !! Definitely worth the money you pay for it... A must see if you come to New York !! 	8	5	Broadway at its best !! 	Menaka G
12	November 4, 2016	The ticket is expensive ( Lowest is 129) but really worth to see it. I saw Aladdin few days earlier, it was good but if I can see only one, I will choose The Lion King. 	4	5	Fantastic	Norineko
1228	November 7, 2016	Wonderful show...fantastic vocals and acting, beautiful costumes and settings. Far superior than the movie, and you'll recognize every song and story. Get your tickets early, luckily I went with a company convention.	202	4	Broadway treat;	Larry M
9	November 9, 2016	It was a very big & enchanting scene ! The theater is great and the costumes and the story are fabulous, a great Disney ! Worth the price definitively :)	1	4	Worth it !	garanceaccorsi
14	November 10, 2016	Amazing performance. If you can would highly recommend seats near the front more expensive but worth it. The cast were exceptional, the whole show was just brilliant. 	2	5	Amazing	Natalie F
22	October 23, 2016	Enjoy the greatest show ever ! Such good memories at NYC ! All the performance was very exciting, the music was great ! As my friends said, it's probably the best show on Broadway ! 	1	5	Piece of art 	Victor T
68	October 24, 2016	An absolute must do! I am so pleased I was able to experience this! I've been wanting to see it at home in London for a long time and decided to take the chance to see it on broadway. It was absolutely breathtaking and would 100% recommend 	7	5	10/10!!	rachelmcclea
54	October 26, 2016	Go !.. run to that box office... get on line.... Buy those tickets. ....its fantastic. For all ages. .... 	81	5	"""Mum and daughter and the king"""	d q
1	October 26, 2016	The Lion King has been one if my all time favorite movies since the first time I saw it. Seeing it on stage was so special for me. It's hard to even describe how much I loved seeing the stage production. It's an experience I'll truly never forget.	50	5	A magical experience!	Symsyd
27	October 18, 2016	The music, the customs, each scene, the characters. All was really amazing. A real pleasure and great joy. The sound was awesome and the whole theater was in perfect tidiness.	3	5	Awesome in every detail	Karina B
392	October 20, 2016	We're not really musical theatre fans, but we really enjoyed this show. Fantastic costumes, good singing & dancing & acting. Loved how the animals and characters came down the aisles - make sure you get a seat on the main floor!	167	4	Great Show	herestoadventures
25	October 20, 2016	Fantastic show for all ages. The performances were top class and the costumes and stage sets were exceptional. This is a must see for anyone visiting New York. 	12	5	Wow...what a show	Clanky79
166	October 22, 2016	You absolutely have to come and see this show - it was spectacular. The whole cast are fantastic and gave so much to their performance. I read a lot of reviews before buying my tickets, and at first I was a little bit gutted when I realised my seats were on the second to back row. BUT... it does not matter where you sit. I had a fantastic view! Do not worry if you haven't managed to get the seats you wanted, all of the seats have a great view. During different parts of the show actors travel around the aisles as well. I cannot recommend this show enough! It was a flawless and emotional performance which received a standing ovation. It's suitable for all ages, even for those who may not usually like the theatre, I swear you'll be converted!	51	5	FLAWLESS!	albcx
106	October 11, 2016	First time going to a broadway show and it was incredible. The young actress playing The lion was amazing. Such a great performance and would definitely go again 	49	5	Amazing shoe	Emily A
119	October 12, 2016	Will never forget seeing the lion king the musical and better still i got to watch it on broadway in new york! Probably one of my most memorable memories (ha) ever. Brilliant performances and all round fantastic show. A must see for all ages 	36	5	Best MUSICAL TO SEE LIVE EVER	lillady24x
16	October 12, 2016	This was perhaps the most amazing show I've seen on stage. I hadn't been to a broadway show before and wow we were left speechless. The costuming was incredible, actors were great and the sets were fabulous. There was always something to watch and not a dull moment during the show. From the first vocals to the last the talent in this show was unbelievable. Well worth the ticket prices.  The Minskhoff Theater was beautiful. I would high recommend this show to anyone visiting NYC. 	2	5	Wow	Stephanie V
29	October 13, 2016	Incredible show. It's EVERYTHING they say it is. It's beautiful, funny, dramatic, innovative, creative. I truly don't even know what else to say but I will never forget it and if they ever tour to my city, I will be front and centre. Plus the gift shop is fantastic.	17	5	Sensational	Sara P
8	September 27, 2016	If you are in NY and you are not going to watch it........  I watch it twice in my life, the first time when I was 12 years old and the second while was 21 years old. I LOVED it ! SO SPECIAL !! SO MUCH CREATIVITY! I WILL COME BACK TO THIRD TIME! 	253	5	AMZING!!!!!!!!!!!!!!	לינוי ק
40	September 28, 2016	Excellent music, excellent show put by world class artists.  I paid $50 more for each ticket a day later (than when originally I was going to purchase!) ~$750 for four tickets definitely makes this one in a life time experience. Over priced food and memorabilia ($40 for simple T short!)	10	5	Excellent show better plan ahead for good seats and good prices	NoJunk69
180	October 1, 2016	Its a must see show for the whole family there costumes were so insanely awsome the show is put together just perfect. Me and my wife will return for a second show when we visit New York again	20	5	Awsome show for the whole family 	Rene M
107	October 3, 2016	Anybody who is a fan of the cartoon will Love this and to be honest anybody who hasn't even seen the cartoon will probably love it too. All the songs are there. The Characters and Costumes are fantastic. All the seats had a fantastic view. the effects were great. Also I'm slight hard of hearing abut the sounds and music was all crystal clear to me through my hearing aids which hasn't always been the case with other shows.	45	5	One of the best Mucials I have seen.	Steve_In_Ulster
1082	September 16, 2016	This is a very spectacular show, what you expect from a Broadway musical. Specially if you travel with the family. Best customs ever. 	280	4	Great show	MTorre
135	September 21, 2016	The entire show is amazing. The acting is superb, the designs for the animals artistic and stunning, the singing sublime. It made me cry and smile and laugh ...each character impeccably cast and overall the impact is superlative! Don't Miss It !	84	5	Fantastic!	RajHalve
171	September 22, 2016	up to 2 tickets for $30 per ticket. We googled playbill.com rush lottery and it directs you to a site to enter a lottery - well, we won and made the trip up to NYC and saw the show. Incredible, worth it and it is a have to see show. The best part was we paid $60 for 2 tickets, The show is amazing, there really isn't many shows like this. So much going on at all times.	94	5	Try Playbill.com lottery tickets to score	BigTimeTravelFamily
584	September 25, 2016	We had great seats in the P section and an isle seat. BUT there was a big guy in front of us that made clear viewing a real chore. what made matters worse we paid over $350 for these supposedly great seats. In any event the play was dissapointing in that it was so animated with uniforms and moving animal parts that it lost the effect of even close reality. The singing and actual story got lost in the way. Probably much better for kids. We left at the break.	135	3	The Lion King	John R
216	September 10, 2016	Lion King and Wicked are the two best shows ever. Great for kids or adults. I love the message of the Lion King. If you have a choice to see one show make it the Lion King or Wicked	79	5	best show ever	Panic1522
65	September 11, 2016	I saw The Lion King as a kid shortly after it opened almost 20 years ago. Going back as an adult with my husband was an unforgettable experience. The opening number to Circle of Life was breathtaking. I actually got a bit emotional from the visually stunning scene and beautifully sung and performed score, and of course, nostalgia. We got 2 for 1 tickets through Broadway Week, and sat in the second row of the mezzanine. The mezzanine is a great place to sit, as you have a wonderful view of everything that's going on. There were lots of people here with kids too, and they provide booster seats. The kids seemed to enjoy it just as much as we did. Run, run to get your tickets for The Lion King!	25	5	Saw as a kid, and now back as an adult, stunning, mind-blowing, amazing	Lag66
173	September 12, 2016	I've seen this show many times and each time I go I fall in love over and over. Took my kids who loved it as well. There's so much to see. We also arrived late for our show (beyond our control) and were accommodated so nicely. The manager gave us seats at a later show and brought us to our new spot. They didn't have to help us in that way but went out of their way to make the magic of Disney come alive on the stage for my kids. Would recommend to people with or without children - although little ones should be careful as they may be afraid of the scenes with Scar. 	59	5	Amazing performance again and again	kmvw
5	September 14, 2016	Don't know enough adjectives to describe my feelings. From costumes and stage decor to sound and actors; simply an outstanding show. Great overall production. I got to be honest I'm not a big fan of Broadway shows; I was yawning and searching for a place to eat during my Phantom of the Opera visit. So when I was just considering The Lion King show the price was kind of high but hey, it's for my little princess's bday, you gotta do what you gotta do. To make a long story short I set throughout the entire performance with my jaw dropped. We came a bit late, (NYC Traffic) but the staff was great and helped us find our seats quickly, (orchestra, row-n). The theater is in very good condition and the seats were comfortable. The concession stand could use some improvements and I didn't care much about souvenir kiosk since I knew we had to visit the Disney Store after the show. The Lion King show was/is the real diamond. I would definitely recommend and watch it again.	3	5	Unforgetable Experience!!!	Maksim P
28	September 2, 2016	Awesome show! Highly recommend it. It is great from start to finish. I sat in the orchestra section. 	35	5	Awesome	Steven M
75	September 3, 2016	I am physically at the Lion King and have to say I am 98% disappointed. The opening song is very good and the stampede scene is done well. But everything after that is underwhelming. All the acting is mechanical, overly rehearsed, passion less. In some intances, young simbas dialogue overlaps with mufasa and you can tell it becuase it is mechanical. Also the stage sets are bare bone and I mean it. A lame strip of grass here and there and air inflated tree on the entire stage. There is so much more opportunity to redo the stage so u feel u are at a watering hole or savannah. I wonder if sets have been updated since 1997? Also more than half of the time the lighting is soooo dim, you can't see anything. Most of these scenes are with scar....I understand u want darkness but it is overly dark. What's worse is that except for the opening song and akuna matata, the applause in the audience is Luke warm. I suspect this reflects the overall below average quality of the production. I loved loved loved Aladdin, a brightly light, happy play with high production value. The genie was stellar and u could feel the joy or despair in the actors' performances. And it showed because for aladdin therr were standing ovations, loud laughter. But I am soo disappointed with Lion King. I watched YouTube videos also of the Lion King cast singing on planes and at airports and I was so pumped up for a great performance. I was wrong. My heart is broken. I am sad now. Lion king is ruined. I will not return. 	51	2	Profoundly disappointing	inro41
13	September 5, 2016	It' is an amazing play. Don't miss it The choreography, costumes and all play is simply spectacular.	4	5	Excelemt	Anna C
11	September 6, 2016	First time seeing this show. I want wow'd by it but overall good. I think i expected more out of the main character in respect to being more stern with his singing vs soft spoken which made him sound weak	1	4	Broadway	Leticia R
1078	July 25, 2018	We enjoyed watching the Lion King. The music and acting were great. It was a good show for both, children and adults alike.	769	4	Good Show	Wanda C
142	July 27, 2018	My wife has seen this before, and enjoyed it more than I did. Production values are very high as is the acting but the story line is Disney and targeted at a younger age group, and there were plenty of kids in attendance. Unfortunately we arrived late and missed the march of the animals at the beginning, so if you are planning to attend make sure you get there early. The theatre is cold, so take a sweater or jacket. Long lines for food and drink at intermission, so we gave up - eat before you go, or take a goodie bag with you.	18	4	Great production values	Jim L
3	July 29, 2018	The Lion King was MAGNIFICENT!!! We thoroughly enjoyed the Show and it was a fabulous highlight to our NYC vacation. Incredibly creative portrayal of the animals, stunning costumes, very talented cast with their acting/singing/dancing, beautiful music. We highly recommend seeing this outstanding Broadway Musical!!! Lots of fun and funny, along with sweet and touching. AMAZING!!!	3	5	WOW!!!	Perry~Libby~Mad... Z
54	August 2, 2018	Oh my God bloody brilliant it's just like watching the movie a definite dont miss it was a blast. The singing was amazing the production brilliant the time goes in a flash and leaves you wanting more and you walk out singing down the street just brilliant	7	5	Omg what the f... did we just watch	rickgrant1970
1	November 11, 2008	An amazing show, saw this last week and could watch it over and over, I hate flying but would put up with the flight just to see show again. you will not be dissapointed 10/10	1	5	Top Broadway show	slingshotjam
12	August 2, 2009	The show was simply amazing. I would see it again and again if I could.	7	5	I loved it	MimiFan
279	April 22, 2010	We went to Lion King over the Christmas hols. It was one of the most breathtaking and amazing experiences we had - theatrically. The sets, costumes and overall magic of the performance was second to none. we paid about $650 for a family of 4 and it was worth every cent. We have 2 teenage sons who felt just the same as we did. We were spell bound for the entire performance. we went to other shows - but nothing could compare to this. Just go - you wont regret it.	341	5	BRILLIANT	Martina O
17	August 16, 2010	I have seen other musicals on my past trips to New York and this time someone in my group really wanted to see The Lion King. We went to the theater around 1:00 PM (Saturday)and they told us if we waited for a few minutes they would sell us seats that were either cancelled or not sold. We got prime seating for the 2:00PM show at regular prices but considering to be a last minute thing we were thrilled to see such a spectacle. The costumes, music, acting, soul of the show gave me a real high. Thanks to all of those actors-singers, they touched my heart!	5	5	An amazing musical for all ages	Ysigoviajando
11	December 5, 2010	Best of the best! Family friendly. Great music from the movie with a new song added. Fantastic costumes and puppetry. An unforgettable experience.	2	5	Must see musical for families!	TxZacharys
12	March 4, 2011	...very very disappointing. Like another poster has said, audience talked loudly all the way through and used their mobiles with no intervention by any of the staff but the most irritating thing was the child actor playing Simba - he was truly truly awful. Talk about ham acting! Ruined it for us. Wish we had gone to see another show as it cost a fortune to see this one and we left at half time!!!	43	1	Awful...	Biggles11
26	June 22, 2011	Great performance, good singers, standing ovation. No wonder is the No. 1 choice in Broadway. Excellent view of Times Square. Long lines to the concessionary and bathrooms though.	22	5	Spectacular!	ViajeraDC
45	August 12, 2011	Saw the Lion King this past weekend - amazing. It is very similar to the movie - with some differences of course. But the live action version is amazing - very moving and emotional at points. The young kids seemed to enjoy it that were there - there are definitly some jokes that only the adults would get which was great. Overall highly recommended - only problem was the temp in the theatre - it went from nice and comfortable at show time to being beastly warm by the end of the second act for some reason - to the point people were visibly fanning themselves with the programs. But that was just a minor hiccup in an overall great night	9	4	Great show if you like Disney	CNYFiremedic
10	August 23, 2011	I went to see Lion King thinking it was something for kids. I had no ideia how much i would love it. I truly recomend it to adults and kids. Everyone will love it. There is so much work in the stage, the clothes the music, the show is just superb.!	8	5	Superb I loved it so much	Sue1100
57	September 5, 2011	Fantastic musical, songs from the movie and plenty of original songs. The stage and the costumes are breathtaking. A true Broadway experience, should not be missed.	21	5	Great musical	KidIcarus08
457	September 15, 2011	This is the most magical performance I've ever seen! Had to go back a second time just to try to see everything... costumes are had to believe!	118	5	Most Magical !!!	MarySEverett_Wa
72	September 25, 2011	We really enjoyed The Lion King. The costurmes, were amazing. The music was great. It brought back the memories of how much I loved the songs from the movie. The Minskoff Theatre was nice. We had very good seats in the right side balcony. We felt close enough to really see this amazing show. What we did not like was the staff at The Minskoff Theatre. It was our first rude experience with anyone in New York.  It is a shame that the staff have to put a bad feeling on such a great show.	24	4	An amazing show, with rude theatre staff!	dojay111
130	October 10, 2011	No matter how many times I see The Lion King, I love it. But this production exceeded our expectations. The opening scene overwhelmed us with the animals arriving at Pride Rock for the birth of Simba. Absolutely amazing and fabulous costume creations! The sets were also very clever and effective! The music and performers, fabulous! You could tell the entire audience felt them as we did same by their obvious enthusiastic applause. If we could have spent the money to go again during our NY visit, we would have done so with absolute delight. You MUST go!	86	5	Amazing, Fabulous, Absolutely Fantastic!	walkabout55
35	October 18, 2011	The Lion King was our first ever broadway show we saw and we were just blown away! Even though we are grown ups we really liked the show. All the actors were good, but the kids were spectacular! We're already planning to go back to NYC and are going to see many Broadway shows on the next time, that's how much we enjoyed it.	9	5	Amazing show!	Wil-Jam
13	October 23, 2011	The show seems to have fallen a little flat. The staging, costumes, and talent are all up to snuff however the disney magic seems to have faded. The cast was solid and seemed to be having fun, but something was lacking. That magical element that sweeps you into a land of awe never really came to be. I saw the show before and was left FEELING sense of aching beauty and childlike wonder and openness. This time I left THINKING that was o.k. but I am glad it is over... the show left me feeling nothing except ever so slight disappointment.  That said, it is a spectical and worth seeing. Go, enjoy the eye candy, marvel at the creative staging, the solid performance, and the familiar music. 	4	4	Good, not great. Worth seeing.	dineanddish
16	October 29, 2011	Efficient advance booking of tickets. Impressive show. Great vocals and visual effects. Great character acting.	8	4	Lion King	Robert M
40	November 2, 2011	We booked the seats over the internet. These were situated towards the end of the orchestra section and the view was quite good due to the sloping setting of the seating. We did not opt to get discounted tickets as we were told that the show is practically sold out every day.	9	5	One of the best musicals I have been.	Nick F
29	November 4, 2011	Loved the puppets and music but liked Uk version better - no so many corny jokes 	33	3	Too much American Panto	lbl16
127	November 5, 2011	Wonderful musical that we have seen several times in London before. Perfect for everyone in the family. We booked tickets in advance via Ticketmaster, recommended!	53	5	Wonderful musical!	CamillaLejon
38	November 7, 2011	The show was fantastic. No matter what your age you will enjoy the singing, and amazing costumes. Well worth a visit.	32	5	Excellent family show	patricia_knapman
